name,link,value,words,domain,feature
Oil-Rich Countries Are Importing Elite Athletes to Bump up National Medal Count,http://www.nbcnews.com/storyline/2016-rio-summer-olympics/oil-rich-countries-are-importing-elite-athletes-bump-national-medal-n632566,42599,663,www.nbcnews.com,0
How to know when a summer movie will flop,http://www.cnbc.com/id/102716119,42153,668,www.cnbc.com,0
3 charts explain how oil is roiling world currencies,http://www.cnbc.com/2015/08/25/3-charts-explain-how-oil-is-roiling-world-currencies.html,42241,671,www.cnbc.com,0
How to pick winning dividends,http://www.cnbc.com/2016/06/07/how-to-pick-winning-dividends.html,42528,675,www.cnbc.com,0
This one industry has the biggest jobs gap,https://www.cnbc.com/2015/06/17/this-one-industry-has-the-biggest-jobs-gap.html,43111,679,www.cnbc.com,0
Here are the countries that already get slapped with the US highest tariffs,http://www.cnbc.com/2016/12/07/trump-tariffs-countries-and-products-that-pay-the-highest-us-tariffs.html,42711,683,www.cnbc.com,0
"Why Trump wins: Open primaries, maybe?",http://www.cnbc.com/2016/03/16/why-trump-wins-open-primaries-maybe.html,42445,688,www.cnbc.com,0
"With Trudeau in DC, Canada could be Trump's next tax target",http://www.cnbc.com/2017/02/13/with-trudeau-in-dc-canada-could-be-trumps-next-tax-target.html,42779,695,www.cnbc.com,0
The DJIA: Goldman Sachs and everybody else.,http://www.cnbc.com/2016/02/09/the-djia-goldman-sachs-and-everybody-else.html,42409,698,www.cnbc.com,0
Even Trump's nonsupporters think he will win debate,http://www.cnbc.com/2015/10/23/even-trumps-nonsupporters-think-he-will-win-debate.html,42300,700,www.cnbc.com,0
Starboard looking to break record in Yahoo fight,http://www.cnbc.com/2016/04/19/starboard-looking-to-break-record-in-yahoo-fight.html,42479,701,www.cnbc.com,0
Core Yahoo is worth less than its own acquisitions,http://www.cnbc.com/2016/02/26/core-yahoo-is-worth-less-than-its-own-acquisitions.html,42426,704,www.cnbc.com,0
American Express raises credit card rates,http://money.cnn.com/2015/02/25/news/companies/amex-rates/index.html,42060,705,money.cnn.com,0
